Company,Title,Date,URL,Description,Employees
Amazon,"Amazon set to begin new round of layoffs affecting more than 18,000 people",1/18/2023 3:54:31 PM,https://www.cnbc.com/2023/01/18/amazon-set-to-begin-new-round-of-layoffs-affecting-over-18000-people.html,"Amazon on Wednesday will begin a fresh round of job cuts in what's expected to become the largest workforce cuts in its 28-year history.Earlier this month, CEO Andy Jassy said the layoffs would affect more than 18,000 employees, primarily in its human resources and stores divisions. Amazon said in N",18000
Amazon,"Amazon reportedly plans to lay off about 10,000 employees starting this week",11/14/2022 6:03:11 PM,https://www.cnbc.com/2022/11/14/amazon-reportedly-plans-to-lay-off-about-10000-employees-starting-this-week.html,"Amazon is planning to lay off approximately 10,000 employees in corporate and technology roles beginning this week, according to a report from The New York Times. Separately, The Wall Street Journal also cited a source saying the company plans to lay off thousands of employees.Shares of Amazon close",10000
Amazon,Amazon plans job cuts in health-care business after shuttering telehealth service,9/9/2022 7:14:32 PM,https://www.cnbc.com/2022/09/09/amazon-plans-job-cuts-in-health-care-unit-after-shuttering-telehealth.html,"Amazon is preparing to cut more than 150 jobs as it winds down its telehealth offering known as Amazon Care, according to filings submitted in Washington state.Amazon said 159 employees will be laid off from Amazon Care, based on Worker Adjustment and Retraining Notification (WARN) filings submitted",159
Amazon,How Amazon managed the coronavirus crisis and came out stronger,9/29/2020 5:00:02 PM,https://www.cnbc.com/2020/09/29/how-amazon-managed-the-coronavirus-crisis-and-came-out-stronger.html,"The coronavirus pandemic has not only killed more than 1 million people around the world. It's also devastated the global economy, brought industries to a complete standstill, spurred mass layoffs and, in the case of retail, accelerated the slow-moving demise of already ailing department store chain",1
Microsoft,Microsoft layoffs are not enough to shake our cautious view of the tech giant,1/18/2023 11:24:46 PM,https://www.cnbc.com/2023/01/18/microsoft-layoffs-dont-shake-our-cautious-view-of-the-tech-giant.html,"Microsoft's (MSFT) layoff announcement Wednesday doesn't shake our guarded view of the stock. In fact, it reinforces our belief that the technology giant's business still has more challenges ahead.The company is making the job cuts — roughly 10,000 workers, not quite 5 of its workforce — because re",10000
Google,Google employees scramble for answers after layoffs hit long-tenured and recently promoted employees,1/21/2023 6:06:08 PM,https://www.cnbc.com/2023/01/21/google-employees-scramble-for-answers-after-layoffs-hit-long-tenured.html,"Google employees are scrambling for answers from leadership and from colleagues as the company undergoes a massive layoff.On Friday, Alphabet-owned Google announced it was cutting 12,000 employees, roughly 6 of the full-time workforce. While employees had been bracing for a potential layoff, they a",12000
Google,Google Cuts Another 200,3/26/2009 9:46:45 PM,https://www.cnbc.com/id/29899706,"It was just a couple of months ago that Google confirmed that it would be cutting 100 employee recruiters, its first layoffs, and so symbolic in the wake of the nearly 14,000 workers the company has hired over just the past three years. The news sent a clear message that the recession was affecting",14000
Apple,Apple's dismissal of 200 self-driving car employees points to a shift in its AI strategy,1/26/2019 4:19:40 PM,https://www.cnbc.com/2019/01/26/apple-car-layoffs-signal-focus-on-ai.html,"It's not often you hear about layoffs at Apple.So it came as a surprise Wednesday when CNBC learned that Apple was removing 200 employees from its self-driving car unit. Apple confirmed the staffing change, but reading between the lines of a spokesperson's statement, it sounds like the move is the l",200
IBM,"IBM is laying off more than 1,000 employees",6/7/2019 3:06:36 AM,https://www.cnbc.com/2019/06/06/ibm-layoffs-affect-more-than-1000-employees.html,"IBM said Thursday that it's laying off a small percentage of employees, confirming reports that appeared earlier in the day on TheLayoff, an online message board.A person familiar with the matter said the cuts affect about one-half of 1 of employees. IBM has more than 340,000 employees, according t",340000
IBM,"IBM offers to hire 25,000 US workers next year",12/14/2016 1:26:52 AM,https://www.cnbc.com/2016/12/13/ibm-offers-to-hire-25000-us-workers-next-year.html,"IBM said it will make some heavy investments in its U.S. workforce, hiring 25,000 staffers and spending $1 billion in training over the next four years, the CEO wrote in the pages of USA Today. But to CNBC, the company said the offer was not a hard commitment, rather a plan to hire up to th",25000
IBM,"IBM Cuts 1,500 Employees from Technology Services Unit",5/30/2007 11:23:29 PM,https://www.cnbc.com/id/18946237,"IBM laid off 1,570 people, primarily from an ongoing overhaul of operations in its giant technology services unit.The Armonk, N.Y.-based company carried out a similar level of job cuts at the beginning of the month, for a total of 3,023 in this quarter and 3,720 for the year, according to IBM spokes",1570
Cisco,Cisco's Chambers: Layoffs are part of our growth strategy,8/15/2013 3:21:29 PM,https://www.cnbc.com/id/100964580,"Cisco Systems' planned layoffs are intended to free up resources for the company's faster-growing segments and future acquisitions, CEO John Chambers told CNBC on Thursday. Shortly after reporting earnings Wednesday, Cisco announced plans to lay off 4,000 employees, or 5 percent of its wor",4000
Cisco,"Cisco to cut 1,100 more jobs amid a worse-than-expected business outlook",5/17/2017 10:45:24 PM,https://www.cnbc.com/2017/05/17/cisco-earnings-layoffs-job-cuts-announced-guidance-below-estimates.html,"Cisco said on Wednesday that it will cut an additional 1,100 employees as part of an expanded restructuring plan.The cuts come on top of the 5,500 job cuts, or 7 percent of its workforce, announced in August 2016, the enterprise technology company said. Cisco said it plans to recognize hundreds of m",1100
Oracle,"Oracle is laying off more than 900 people in China, reports say",5/8/2019 5:25:46 AM,https://www.cnbc.com/2019/05/08/oracle-is-laying-off-more-than-900-people-in-china-reports-say.html,"U.S. database and cloud computing company Oracle is planning to lay off more than 900 people from its China operations, local news outlets reported, citing an internal announcement Tuesday morning.The dismissals will primarily come from Oracle's local research and development base of 1,600 employees",900
Dell,"Dell to lay off 6,650 workers, or 5% of its workforce",2/6/2023 3:49:38 PM,https://www.cnbc.com/2023/02/06/dell-to-lay-off-6650-workers-or-5percent-of-its-workforce.html,"Dell on Monday announced plans to lay off 5 of its workforce, or about 6,650 employees, according to an SEC filing. The cuts at Dell come as demand for PCs and laptops has slowed globally. Global shipments of PCs were down 28 year over year in the fourth quarter of 2022, according to industry anal",6650
Dell,Dell Profit Rises; Company Plans to Lay Off 10% of Work Force,6/1/2007 5:16:46 PM,https://www.cnbc.com/id/18965618,"Dell said that earnings rose 8 in preliminary first-quarter results, and the computer maker plans to lay off about 8,000 employees over the next year as part of an ongoing restructuring.Dell said it earned $947 million, or 34 cents a share, in the three months ended May 4. That compared with $762",8000
Salesforce,"Salesforce is cutting 10% of its personnel, more than 7,000 employees",1/4/2023 5:53:02 PM,https://www.cnbc.com/2023/01/04/salesforce-is-cutting-10percent-of-its-workforce-more-than-7000-employees.html,"Salesforce is cutting 10 of its personnel and reducing some office space as part of a restructuring plan, the company announced Wednesday. The company employed more than 79,000 workers as of December.In a letter to employees, co-CEO Marc Benioff said customers have been more ""measured"" in their pur",79000
Broadcom,"Broadcom lays off 1,100 employees after Brocade merger",6/15/2018 12:52:16 AM,https://www.cnbc.com/2018/06/14/broadcom-lays-off-1100-employees-after-brocade-merger.html,"Broadcom said it had laid off about 1,100 employees across its businesses to cut costs after its merger with Brocade.The chipmaker completed its $5.5 billion acquisition of network gear maker Brocade in November.Broadcom is further evaluating its resources and may terminate additional positions, it",1100
Twitter,#TweepTherapy: Former Twitter employees meet on the platform nearly every 2 weeks to process,12/20/2022 11:54:12 PM,https://www.cnbc.com/2022/12/20/tweep-therapy-fired-twitter-workers-meet-on-twitter-to-process.html,"After the mass layoff of Twitter employees on Nov. 3, a group of former workers turned to the platform's virtual feature for live conversations to process.About ""3,700 people never got to say goodbye to each other. It just sort of happened,"" says Alphonzo Terrell, former global head of social and ed",3700
